exeution_time,value
339,0
337,37
337,46
337,59
338,12
341,66
341,80
341,45
338,59
338,66
339,12
339,37
339,80
339,0
341,45
341,46
339,73
336,94
337,0
337,75
340,69
340,88
340,49
341,81
338,0
335,69
336,12
339,57
339,16
340,73
340,60
340,41
65,12
66,-10
66,44
67,57
67,30
67,77
67,10
68,0
53,77
51,77
52,61
52,31
52,-2
53,0
56,48
57,67
41,72
38,0
43,1
43,5
44,56
44,26
45,38
45,24
20,0
19,11
21,1
34,13
34,24
35,34
35,89
36,81
50,63
48,-13
49,82
51,84
64,16
62,29
62,0
62,4
40,6
41,15
37,0
38,90
42,97
42,16
43,27
39,60
